player_id,player_name,position,team,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct
00-0035644,Noah Fant,TE,SEA,14,56.0,104.0,0,0.0,0,64,48,500.0,1,0,0,0.0,0,0.0,0.6328571428571428
00-0035659,Terry McLaurin,WR,WAS,17,185.8,267.8,2,2.0,0,117,82,1096.0,13,0,0,0.0,0,0.0,0.8125
00-0035662,Marquise Brown,WR,KC,2,9.100000000000001,18.1,0,0.0,0,15,9,91.0,0,0,0,0.0,0,0.0,0.544
00-0035676,A.J. Brown,WR,PHI,13,149.9,216.9,0,0.0,0,97,67,1079.0,7,0,0,0.0,0,0.0,0.878235294117647
00-0035685,David Montgomery,RB,DET,14,185.72,221.72,185,775.0,12,38,36,341.0,0,1,1,3.0,1,0.0,0.4073333333333334
00-0035689,Dawson Knox,TE,BUF,14,37.1,59.1,0,0.0,0,33,22,311.0,1,0,0,0.0,0,0.0,0.5994736842105264
00-0035700,Josh Jacobs,RB,GB,17,257.1,293.1,301,1329.0,15,43,36,342.0,1,0,0,0.0,0,0.0,0.6333333333333333
00-0035704,Drew Lock,QB,NYG,7,80.14,80.14,18,133.0,2,0,0,0.0,0,107,181,1071.0,6,5.0,0.6525
00-0035710,Daniel Jones,QB,MIN,10,135.3,135.3,67,265.0,2,0,0,0.0,0,216,341,2070.0,8,7.0,0.9789999999999999
00-0035719,Deebo Samuel Sr.,WR,SF,14,104.60000000000001,155.6,42,136.0,1,81,51,670.0,3,0,0,0.0,0,0.0,0.7313333333333334
00-0035806,JaMycal Hasty,RB,NE,9,18.8,28.8,20,69.0,0,12,10,59.0,1,0,0,0.0,0,0.0,0.11200000000000002
00-0035860,Tony Jones,RB,ARI,1,11.5,11.5,4,55.0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.08
00-0035891,Cody White,WR,SEA,1,4.4,6.4,0,0.0,0,3,2,44.0,0,0,0,0.0,0,0.0,
00-0035924,Jonathan Ward,RB,PIT,2,2.2,2.2,5,22.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.04
00-0035973,Patrick Taylor,RB,SF,5,26.8,29.8,39,183.0,1,11,3,25.0,0,0,0,0.0,0,0.0,
00-0035976,Dan Chisena,WR,CAR,3,3.7,6.7,0,0.0,0,4,3,37.0,0,0,0,0.0,0,0.0,0.04833333333333333
00-0035993,Tyler Huntley,QB,MIA,5,60.66,60.66,26,135.0,2,0,0,0.0,0,86,133,829.0,3,3.0,0.9339999999999999
00-0036040,Juwan Johnson,TE,NO,15,72.80000000000001,122.80000000000001,0,0.0,0,66,50,548.0,3,0,0,0.0,0,0.0,0.6417647058823529
00-0036096,J.J. Taylor,RB,HOU,3,4.4,6.4,10,44.0,0,3,2,0.0,0,0,0,0.0,0,0.0,0.09
