player_id,player_name,red_zone_touches,goal_line_touches,total_touches,red_zone_share,goal_line_share
00-0038551,K.Miller,3.0,0.0,47.0,0.06382978723404255,0.0
00-0039398,J.Milton,3.0,2.0,10.0,0.3,0.2
00-0039365,J.Cowing,3.0,1.0,7.0,0.42857142857142855,0.14285714285714285
00-0036670,J.Jefferson,3.0,1.0,7.0,0.42857142857142855,0.14285714285714285
00-0039359,C.Stover,3.0,0.0,26.0,0.11538461538461539,0.0
00-0038738,H.Luepke,3.0,1.0,28.0,0.10714285714285714,0.03571428571428571
00-0038618,X.Hutchinson,3.0,1.0,33.0,0.09090909090909091,0.030303030303030304
00-0034798,D.Smythe,3.0,2.0,17.0,0.17647058823529413,0.11764705882352941
00-0034830,H.Hurst,3.0,2.0,13.0,0.23076923076923078,0.15384615384615385
00-0038622,D.Vaughn,3.0,1.0,22.0,0.13636363636363635,0.045454545454545456
00-0035249,J.Oliver,3.0,2.0,29.0,0.10344827586206896,0.06896551724137931
