player_name,team,position,pos_rank_label,ecr_rank,adp,rank_min,rank_max,rank_std,bye_week,owned_avg_pct
Baltimore Ravens,BAL,DEF,DST11,202,199.56,171,356,24.04,13,55.3
Kayshon Boutte,NE,WR,WR73,190,199.62,150,323,28.67,11,14.4
Jason Myers,SEA,K,K5,203,200.21,171,253,8.70,11,95.3
James Conner,ARI,RB,RB61,200,200.67,127,314,39.79,14,18.7
Kimani Vidal,LAC,RB,RB60,194,201.45,156,288,34.55,7,9.3
Green Bay Packers,GB,DEF,DST13,215,203.69,183,280,22.09,11,29.6
Mike Washington Jr.,LV,RB,RB62,201,204.09,143,313,38.65,13,19.4
Greg Dulcich,MIA,TE,TE30,243,204.25,131,300,42.45,6,14.8
Tank Dell,HOU,WR,WR75,199,205.64,133,285,29.98,8,21.3
Calvin Ridley,TEN,WR,WR74,197,207.02,133,312,34.40,9,14.3
AJ Barner,SEA,TE,TE23,193,207.73,144,254,22.67,11,22.0
Troy Franklin,DEN,WR,WR76,206,208.65,137,341,38.03,10,7.5
Eddy Pineiro,SF,K,K7,211,208.7,175,250,10.52,8,62.3
Tyler Loop,BAL,K,K6,207,209.49,181,257,13.00,13,53.7
Kansas City Chiefs,KC,DEF,DST12,210,210.61,151,280,21.06,5,22.0
Nicholas Singleton,TEN,RB,RB63,204,212.02,145,322,42.16,9,16.6
Isaac TeSlaa,DET,WR,WR77,209,212.3,163,302,26.79,6,13.5
Evan McPherson,CIN,K,K11,227,216.0,173,262,15.90,6,39.2
Cairo Santos,CHI,K,K9,220,216.53,193,282,13.34,10,27.5
Keenan Allen,IND,WR,WR80,221,217.23,90,298,62.53,13,16.3
Darnell Mooney,NYG,WR,WR79,216,217.46,154,299,25.42,8,10.3
Gunnar Helm,TEN,TE,TE24,205,217.81,138,290,28.64,9,11.5
Emanuel Wilson,SEA,RB,RB64,214,219.4,132,393,39.14,11,6.5
Rashod Bateman,BAL,WR,WR78,212,220.39,165,296,28.56,13,7.1
Jaydon Blue,DAL,RB,RB65,222,220.41,133,328,46.21,14,9.0
Aaron Rodgers,PIT,QB,QB28,213,220.92,139,343,43.20,9,13.8
Detroit Lions,DET,DEF,DST14,232,221.05,185,330,25.69,6,59.1
Jake Bates,DET,K,K8,219,221.69,191,255,14.83,6,65.5
Kenyon Sadiq,NYJ,TE,TE25,208,222.63,158,375,32.61,13,55.3
Terrance Ferguson,LAR,TE,TE26,218,223.36,138,290,35.10,11,17.4
Cleveland Browns,CLE,DEF,DST16,237,223.49,182,356,35.90,11,20.8
Andy Borregales,NE,K,K12,229,224.32,188,333,22.78,11,25.7
Caleb Douglas,MIA,WR,WR97,267,225.23,94,334,59.87,6,5.6
Cooper Kupp,SEA,WR,WR81,224,225.99,149,298,28.98,11,13.6
Chase McLaughlin,TB,K,K13,231,226.0,193,282,18.38,10,16.6
Harrison Mevis,LAR,K,K10,225,226.02,192,282,18.88,11,70.0
Buffalo Bills,BUF,DEF,DST15,235,226.78,185,343,24.21,7,30.1
Zachariah Branch,ATL,WR,WR82,226,226.88,150,313,35.49,11,17.3
Geno Smith,NYJ,QB,QB29,217,227.82,147,344,35.07,13,10.3
Cyrus Allen,KC,WR,WR102,282,228.7,132,438,65.51,5,9.2
Antonio Williams,WAS,WR,WR83,230,229.11,140,328,38.67,7,17.6
Kaytron Allen,WAS,RB,RB66,223,229.77,146,326,36.42,7,12.7
Jaylen Wright,MIA,RB,RB67,236,231.79,151,301,30.28,6,6.3
Germie Bernard,PIT,WR,WR84,233,233.87,170,331,34.09,9,13.3
Justice Hill,BAL,RB,RB69,240,236.61,141,329,38.80,13,7.7
Pat Freiermuth,PIT,TE,TE27,228,237.21,138,333,31.07,9,13.0
Jack Bech,LV,WR,WR85,239,238.44,142,347,32.05,13,5.5
Chimere Dike,TEN,WR,WR86,241,238.49,154,331,37.18,9,6.6
Chris Boswell,PIT,K,K14,245,240.31,192,282,19.08,9,33.1
Ollie Gordon II,MIA,RB,RB68,238,241.27,156,294,26.32,6,2.8
Cade Otton,TB,TE,TE28,234,241.86,168,309,21.91,10,15.3
Ted Hurst III,TB,WR,WR87,248,243.02,169,315,35.23,10,9.4
Harrison Butker,KC,K,K15,247,243.42,192,312,23.09,5,41.4
Demond Claiborne,MIN,RB,RB72,255,245.15,152,323,36.13,6,9.5
Malachi Fields,NYG,WR,WR90,253,246.59,168,355,35.03,8,9.8
Keon Coleman,BUF,WR,WR89,252,246.78,170,323,29.65,7,6.5
George Holani,SEA,RB,RB70,244,248.01,160,337,40.66,11,5.5
Ja'Kobi Lane,BAL,WR,WR93,259,248.04,154,339,45.89,13,19.1
Elic Ayomanor,TEN,WR,WR88,250,248.54,176,344,37.76,9,4.7
Dallas Cowboys,DAL,DEF,DST22,325,249.23,183,365,55.50,14,20.3
Chris Bell,MIA,WR,WR91,254,249.49,150,368,33.76,6,12.5
Drew Stevens,WAS,K,K33,452,251.5,250,253,1.50,7,0.1
David Njoku,LAC,TE,TE31,249,252.7,173,345,26.45,7,15.6
Isaiah Davis,NYJ,RB,RB71,251,254.09,171,327,30.85,13,2.6
Tennessee Titans,TEN,DEF,DST27,379,254.1,188,355,63.80,9,8.9
Evan Engram,DEN,TE,TE29,242,254.94,181,306,26.36,10,8.3
Tory Horton,SEA,WR,WR92,257,255.22,196,341,26.52,11,6.7
Blake Grupe,IND,K,K24,392,255.63,205,353,53.20,13,1.3
Will Reichard,MIN,K,K17,275,256.19,192,333,33.91,6,35.9
Kaelon Black,SF,RB,RB77,269,256.2,153,337,44.74,8,8.7
Christian Kirk,SF,WR,WR95,261,257.26,166,334,32.52,8,6.7
San Francisco 49ers,SF,DEF,DST17,286,257.65,194,345,27.10,8,18.0
Ty Johnson,BUF,RB,RB73,262,258.5,160,384,32.98,7,2.1
