player_name,team,position,adp,ecr_rank,bye_week,player_id,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct,value_score,ppg,rushing_ppg,snap_share,volume,efficiency,receiving_ppg,td_rate,position_rank,adp_position_rank,value_gap
Xavier Worthy,KC,WR,127.51,127,5.0,00-0039894,16.0,128.20000000000002,187.2,20.0,104.0,3.0,98.0,59.0,638.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6725,0.9311911205493206,11.700000000000001,1.775,0.6725,7.375,1.5864406779661018,9.925,0.07627118644067797,16,52,36
Nico Collins,HOU,WR,16.75,14,8.0,00-0036554,12.0,142.60000000000002,210.6,0.0,0.0,0.0,99.0,68.0,1006.0,7.0,0.0,0.0,0.0,0.0,0.0,0.6892857142857143,0.8945708201160866,17.55,0.0,0.6892857142857143,8.25,2.1272727272727274,17.55,0.0707070707070707,17,9,-8
Malik Nabers,NYG,WR,24.9,24,8.0,00-0039337,15.0,164.60000000000002,273.6,5.0,2.0,0.0,170.0,109.0,1204.0,7.0,0.0,1.0,0.0,0.0,0.0,0.906,0.8861034670901072,18.106666666666666,0.013333333333333334,0.906,11.666666666666666,1.5519999999999998,18.09333333333333,0.04,18,14,-4
DeVonta Smith,PHI,WR,24.07,23,10.0,00-0036912,13.0,131.4,199.4,1.0,1.0,0.0,89.0,68.0,833.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8770588235294118,0.87696294830772,15.338461538461539,0.007692307692307693,0.8770588235294118,6.923076923076923,2.2155555555555555,15.330769230769231,0.08888888888888889,19,13,-6
Davante Adams,LAR,WR,50.85,49,11.0,00-0031381,14.0,156.3,241.3,0.0,0.0,0.0,141.0,85.0,1063.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9178571428571428,0.8651645734287852,17.092857142857145,0.0,0.9178571428571428,10.071428571428571,1.697163120567376,17.092857142857145,0.05673758865248227,20,24,4
Jayden Reed,GB,WR,106.01,104,11.0,00-0039146,17.0,142.0,197.0,20.0,163.0,1.0,75.0,55.0,857.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6272222222222221,0.8287990608171447,11.705882352941176,1.311764705882353,0.6272222222222221,5.588235294117647,2.094736842105263,10.394117647058822,0.07368421052631578,21,45,24
Drake London,ATL,WR,12.24,10,11.0,00-0037238,17.0,180.8,280.8,1.0,-3.0,0.0,158.0,100.0,1271.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8970588235294118,0.8030226110041853,16.51764705882353,-0.017647058823529415,0.8970588235294118,9.352941176470589,1.7660377358490567,16.53529411764706,0.05660377358490566,22,7,-15
DJ Moore,BUF,WR,52.44,50,7.0,00-0034827,17.0,140.1,238.1,14.0,75.0,0.0,140.0,98.0,966.0,6.0,0.0,1.0,0.0,0.0,0.0,0.9382352941176472,0.6788020028127844,14.005882352941178,0.4411764705882353,0.9382352941176472,9.058823529411764,1.5461038961038962,13.564705882352943,0.03896103896103896,23,25,2
Ladd McConkey,LAC,WR,36.25,33,7.0,00-0039915,16.0,158.9,240.9,0.0,0.0,0.0,112.0,82.0,1149.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,0.6515355325040865,14.93125,0.0,0.7411764705882353,7.0,2.133035714285714,14.93125,0.0625,24,18,-6
Garrett Wilson,NYJ,WR,29.85,29,13.0,00-0037740,17.0,150.9,251.9,2.0,5.0,0.0,153.0,101.0,1104.0,7.0,0.0,0.0,0.0,0.0,0.0,0.9629411764705884,0.6509866926362551,14.935294117647059,0.029411764705882353,0.9629411764705884,9.117647058823529,1.6380645161290324,14.905882352941177,0.04516129032258064,25,15,-10
Jaxon Smith-Njigba,SEA,WR,4.76,5,11.0,00-0038543,17.0,153.0,253.0,5.0,26.0,0.0,137.0,100.0,1130.0,6.0,1.0,1.0,35.0,0.0,0.0,0.8641176470588235,0.6487537630591882,14.799999999999999,0.15294117647058825,0.8641176470588235,8.352941176470589,1.7718309859154928,14.647058823529411,0.04225352112676056,26,3,-23
Courtland Sutton,DEN,WR,82.83,82,10.0,00-0034348,16.0,159.3,240.3,0.0,0.0,0.0,135.0,81.0,1081.0,8.0,2.0,2.0,30.0,1.0,0.0,0.8594444444444445,0.6169969188182503,14.818750000000001,0.0,0.8594444444444445,8.4375,1.7562962962962965,14.818750000000001,0.05925925925925926,27,37,10
Jakobi Meyers,JAC,WR,101.64,101,7.0,00-0034960,15.0,131.0,218.0,2.0,23.0,0.0,129.0,87.0,1027.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.5862263481303588,14.4,0.15333333333333335,0.9166666666666666,8.733333333333333,1.6488549618320612,14.246666666666666,0.030534351145038167,28,44,16
Cooper Kupp,SEA,WR,226.68,226,11.0,00-0033908,12.0,108.0,175.0,2.0,10.0,0.0,100.0,67.0,710.0,6.0,0.0,0.0,0.0,0.0,0.0,0.8064285714285714,0.579518870187428,14.583333333333334,0.08333333333333333,0.8064285714285714,8.5,1.7156862745098038,14.5,0.058823529411764705,29,82,53
Deebo Samuel Sr.,SF,WR,140.12,143,8.0,00-0035719,14.0,104.6,155.6,42.0,136.0,1.0,81.0,51.0,670.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7313333333333334,0.5644874025645131,11.114285714285714,1.4000000000000001,0.7313333333333334,8.785714285714286,1.265040650406504,9.714285714285714,0.032520325203252036,30,55,25
Rashid Shaheed,SEA,WR,149.99,145,11.0,00-0037545,6.0,61.8,81.80000000000001,6.0,29.0,0.0,41.0,20.0,349.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7566666666666667,0.5053397555067652,12.633333333333335,0.4833333333333334,0.7566666666666667,7.833333333333333,1.6127659574468087,12.15,0.06382978723404255,31,56,25
